"story_id","feature_area","feature","source_refs","user_story","expected_behavior","feature_status","test_status","test_evidence","last_verified_utc","observed_errors","fix_status","retest_status","notes"
"TRACK-001","QA tracking","Canonical feature and user-story tracker","AGENTS.md; docs/agentic-qa-policy.md; docs/user-story-feature-status.csv; scripts/qa/validate-user-story-tracker.py","As a maintainer, I want one canonical spreadsheet for feature stories, expected behavior, test status, errors, fixes, and retests so agent work does not fragment across notes.","This CSV remains the single canonical status artifact for the active full-repo user-story audit; rows are updated in place as testing, errors, fixes, and retests happen, and a validator rejects malformed rows, duplicate IDs, unknown statuses, missing evidence, bad verification dates, and non-passed rows without context.","tested-pass","passed","`python3 scripts/qa/validate-user-story-tracker.py` and `make qa-user-story-tracker` passed, validating the canonical CSV header, unique story IDs, allowed statuses, required story/evidence fields, YYYY-MM-DD verification dates, passed/retest consistency, and context for every non-passed row.","2026-06-25","","test-coverage-added","passed","Do not create parallel status spreadsheets for this goal."
"CLI-001","CLI lifecycle","Run local dataflow","README.md; docs/cli.md; binaries/cli/src/command/run.rs; tests/example-smoke.rs; tests/hub-smoke.rs","As a robotics developer, I want to run a dataflow locally without starting a coordinator or daemon so I can iterate quickly.","`dora run <PATH>` builds or resolves the descriptor as needed, runs the dataflow locally, honors options such as `--stop-after`, and returns non-zero when the dataflow fails.","tested-pass","passed","`cargo test -p dora-examples --test hub-smoke -- --test-threads=1` passed 25 tests with escalation; `hub_end_to_end` runs `dora run <flow>` for a hermetic hub-backed dataflow and asserts the node output, and `hub_run_override_executes_local_source` verifies `dora run --hub-override` executes the local checkout.","2026-06-25","Sandbox full hub-smoke failed on `dora run` paths because Zenoh could not create a POSIX shared-memory segment; escalated rerun passed.","none","passed","`example-smoke` local `--stop-after` variants remain broader example coverage and were not rerun in this pass."
"CLI-002","CLI lifecycle","Start local coordinator and daemon","README.md; binaries/cli/src/command/up.rs; tests/ws-cli-e2e.rs","As an operator, I want `dora up` to start the coordinator and daemon so distributed commands can work on my machine.","`dora up` starts or reuses a coordinator at the configured address and starts a daemon if one is not connected; it reports startup failures with actionable hints.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_start_list_stop -- --test-threads=1` passed with escalation; the test calls `dora up` through `start_cluster` and asserts startup success before running distributed commands.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed",""
"CLI-003","CLI lifecycle","Tear down coordinator and daemon","README.md; binaries/cli/src/command/down.rs; binaries/cli/src/command/up.rs; tests/ws-cli-e2e.rs","As an operator, I want `dora down` or `dora destroy` to tear down local Dora services so no stale processes remain.","`dora down` connects to the coordinator, sends destroy, stops daemons and dataflows, and prints a success message; missing coordinator is reported as an error with a startup hint.","tested-pass","passed","`./target/debug/dora up` passed with escalation and reported started coordinator and daemon; `./target/debug/dora down` then passed and printed `Coordinator and daemons destroyed successfully`.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the commands were run outside the sandbox.","none","passed",""
"CLI-004","CLI lifecycle","Build dataflow","README.md; docs/cli.md; binaries/cli/src/command/build; tests/example-smoke.rs; tests/hub-smoke.rs","As a developer, I want `dora build <PATH>` to execute descriptor build steps and resolve hub or git sources before I run a dataflow.","`dora build` validates and expands descriptors, resolves local/git/url/hub sources, honors lockfile and offline flags, and fails on invalid build inputs.","tested-pass","passed","`cargo run --quiet -p dora-cli -- build examples/rust-dataflow/dataflow.yml` passed and ran the Rust example node build commands. The full escalated `hub-smoke` suite passed and covers hub-backed `build --write-lockfile`, locked/offline build, and publish-then-build flows. `cargo run --quiet -p dora-cli -- build examples/rust-dataflow-git/dataflow.yml` passed with escalation, reused the pinned Git clone, and built the three referenced Rust packages. `cargo test -p dora-cli resolve_dataflow_downloads_url_to_current_dir` passed with escalation after adding URL dataflow download coverage.","2026-06-25","Git build and URL download validation require network/socket-capable execution; sandboxed URL test failed at localhost bind and escalated rerun passed.","test-coverage-added","passed",""
"CLI-005","CLI lifecycle","Start dataflow on coordinator","README.md; binaries/cli/src/command/start; tests/ws-cli-e2e.rs","As an operator, I want `dora start <PATH>` to start a dataflow on the running coordinator so it can be managed remotely.","`dora start` sends the built descriptor to the coordinator, supports attached or detached execution, and returns the dataflow id or foreground result depending on mode.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_start_list_stop -- --test-threads=1` passed with escalation; the test runs `dora start examples/rust-dataflow/dataflow.yml --detach` and asserts success.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed",""
"CLI-006","CLI lifecycle","Stop running dataflow","README.md; binaries/cli/src/command/stop.rs; tests/ws-cli-e2e.rs","As an operator, I want to stop one or all running dataflows so I can safely shut down work.","`dora stop <ID|NAME>` stops the requested dataflow, `--all` stops all running dataflows, and no-running-dataflow cases print a useful list hint.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_start_list_stop -- --test-threads=1` passed with escalation after adding an assertion that `dora stop --all` exits successfully.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","test-coverage-added","passed",""
"CLI-007","CLI lifecycle","Restart dataflow","README.md; binaries/cli/src/command/restart.rs; docs/cli-command-coverage.md","As an operator, I want to restart a dataflow by id or name so I can recover without manually retyping descriptor paths.","`dora restart` stops and restarts the stored descriptor for the target dataflow and reports target resolution errors clearly.","tested-pass","passed","`cargo test --test ws-cli-e2e clean_status_cli::cli_restart_sends_restart_by_name_request -- --test-threads=1` passed with escalation after adding a subprocess websocket mock test; it verifies `dora restart --name vision-pipeline --grace-duration 2s` and `dora restart --name vision-pipeline --force` send `RestartByName` with the expected strategy and print the old/new UUID reply.","2026-06-25","Requires local websocket mock ports and dora subprocesses, so the test was run outside the sandbox.","none","passed",""
"CLI-008","CLI monitoring","List dataflows","README.md; binaries/cli/src/command/list.rs; tests/ws-cli-e2e.rs","As an operator, I want to list dataflows and filter by status so I can see what is running, finished, or failed.","`dora list` and alias `dora ps` show dataflow id, name, status, node count, CPU, and memory where available; JSON output is parseable.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_start_list_stop -- --test-threads=1` passed with escalation; the test runs `dora list` after starting a dataflow and asserts it reports a terminal or running dataflow status.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed","JSON output remains covered by lower-level list/clean/status tests; this row verifies real subprocess table behavior."
"CLI-009","CLI monitoring","Clean finished and failed dataflows","README.md; binaries/cli/src/command/clean.rs; tests/ws-cli-e2e.rs; docs/cli-command-coverage.md","As an operator, I want to remove finished and failed dataflows from coordinator state so old records and logs do not accumulate.","`dora clean` removes finished and failed records, leaves running records intact, supports table, JSON, and quiet output, and exits non-zero if persisted-store cleanup fails.","tested-pass","passed","`cargo test --test ws-cli-e2e clean_status_cli -- --test-threads=1` passed 6 tests; clean-specific tests cover default table, JSON, quiet output, persisted deletion, and persisted enumeration failure.","2026-06-25","Previous subprocess coverage gap documented in docs/cli-command-coverage.md.","test-coverage-added","passed","No production code change required."
